Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T09:01:22.551466+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T08:45:47.898096+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T09:01:25.049768+00:00,XAU/USD proxy,,no entry
