Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-05T22:00:42+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,,ETF-proxy (QQQ),,no entry
GOLD_CFD,,,XAU/USD proxy,,no entry
