p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price,analysis_timestamp,close,label
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,0.3075801034677168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:33:05+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,0.4055932426062196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:35:15+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,0.4868122126468498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:37:32+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:48:58+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:58:36+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:19:15+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:32:00+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:43:54+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:50:01+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:53:06+00:00,,0
0.0,0.0021216330153095,-0.0110020410659156,0.0,0.0,1.366516857372603,0.2549022423651588,0.0016388027080216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 12:18:40+00:00,,0
18.223928177887288,0.0024009263800768,-0.0109473434426424,0.0,0.0,0.9458231886608226,0.2668713813464743,6.2402375343366846e-06,0.0,0.0,0.0,0.954063332200228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 13:41:17+00:00,,0
18.357972721094743,0.0028003150884019,-0.0105120715360361,0.0,0.0,0.4066985251033459,0.2829567265313691,0.0003006105979046,0.0,0.0,0.0,0.9768548879068644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 13:54:59+00:00,,0
18.362584628950547,0.0029165451935287,-0.0106492709441253,0.0,0.0,0.0547654817101502,0.2835101554740656,-0.0001000092219115,0.0,0.0,0.0,0.8864636415784795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 14:05:51+00:00,,0
17.780269911028757,0.0029914990245558,-0.0107840307541811,0.0,0.0,0.045992727887332,0.2136323893234509,-5.444235484298568e-05,0.0,0.0,0.0,0.8377128647960028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 14:15:41+00:00,,0
9.492926192548248,0.0033432392273402,-0.0093304191668203,0.0,0.0,0.0416772953234181,0.1791511431057897,0.0008914252990121,0.0,0.0,0.0,0.9168294685440334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 14:40:33+00:00,,0
9.348162931148082,0.0030291965070988,-0.0092091972439054,0.0,0.0,0.0507501812036973,0.1617795517377696,0.0015786168130514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 14:54:09+00:00,,0
8.21882469333249,0.0026540693115885,-0.0090553381841751,0.0,0.0,0.1045193249792799,0.0262589631998987,5.4631409914352976e-05,0.0,0.0,0.0,0.8788660245943425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 15:13:44+00:00,,0
8.469467773895264,0.0023328971801521,-0.0077729846793658,0.0,0.0,0.0853114432002315,0.0563361328674316,0.0010651061976085,0.0,0.0,0.0,0.96256560519512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 15:34:46+00:00,,0
8.425773051440654,0.0023678414096916,-0.0081696692343194,0.0,0.0,0.0843419270644753,0.0510927661728784,-0.0005105621798042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 15:46:09+00:00,,0
8.198083094879845,0.0023042740947774,-0.0079736461872122,0.0,0.0,0.0842457001632023,0.0237699713855814,0.0003731308426538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 15:56:03+00:00,,0
