p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag
3.0,0.0002604511381408105,-0.0001890602203742536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0002610953255355953,-0.0001976584413398091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00023169402658473778,-0.0002677900223103314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0002108628704811527,-0.00027170225288713633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.0002372695971198779,-0.00029048563402324823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.0002691785088859365,-0.00029988022694410656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23.0,0.0002861677420936038,-0.00024275969425463896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0002948225241956727,-0.0002854958421447216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00027466632333376494,-0.00028287569512160706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00031146268517622753,-0.00027583166865748033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0002870045798081386,-0.0003071467853625606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0003137589424362791,-0.0002730648178542615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0003123457410127306,-0.00021833785542735664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00027570319631906644,-0.0002527299887690627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002831597192428523,-0.00025685755197323295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002756180888764047,-0.0001951010078822997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002866968964448098,-0.00021229062547924743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00027635616733821507,-0.00023652337226709585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00025619432523435557,-0.00018727252519641586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002476497790767703,-0.00020056281885589254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002587414130959876,-0.00022089665288672515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9003966932079335,0.0,0.0
21.0,0.0002250056711238537,-0.00022577273911758095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8639938138488488,0.0,0.0
21.0,0.00018519109022361522,-0.0002437678101492631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002012383521032922,-0.0002907449409592636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00020000613515749543,-0.0002883949344523616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00018408002326770828,-0.00036664696744276824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7865526624120652,0.0,0.0
31.0,0.00017851315108224168,-0.00034391387001400355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,0.00018215159673966533,-0.00032275874934216344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9856547775950119,0.0,0.0
21.0,0.00018522130265772948,-0.00032216174722632656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0001686675752226601,-0.0003252952535301046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00016318397705117257,-0.0003456682924471252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0001460117324721534,-0.0003488034137383205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00015459269120109048,-0.0003297119694274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7465870296958906,0.0,0.0
21.0,0.000152133612572155,-0.00032657766552993795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671791273361304,0.0,0.0
21.0,0.00014416629551514446,-0.00033127920213431436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0001527523020201538,-0.0003297119694274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7081201939743049,0.0,0.0
21.0,0.00012086364127184709,-0.00034370674812093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00023719135995522116,-0.00029811254725885375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00024620561277667596,-0.00029811254725885375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0002618427599588137,-0.00019260876923651242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9407423221072029,0.0,0.0
21.0,0.00022483048480592202,-0.000224444268189383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648700905692634,0.0,0.0
21.0,0.00019152907911861955,-0.000224444268189383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00021646471061058568,-0.0002138821159902728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00023304851125543376,-0.00016290550897494276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9014165866934168,0.0,0.0
21.0,0.00019953999102741046,-0.000152350488966411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00019122243634060897,-0.00016290550897494276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00019950179134572282,-0.00016290550897494276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.00019945538195975811,-0.00014171975718888118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21.0,0.0001999443099897082,-0.00010602203407210473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9915611897734203,0.0,0.0
3.0,0.0002578670952990817,-0.00020706923334468414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951552627198587,0.0,0.0
3.0,0.00018541712713966593,-0.0003367818341786575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8396605277903165,0.0,0.0
3.0,0.0001418256833419173,-0.0003367818341786575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8751438974555275,0.0,0.0
13.0,0.00011419043280630938,-0.00038151277201184906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095144876398497,0.0,0.0
13.0,0.00011849708853267372,-0.00038857508555609996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9002978925246651,0.0,0.0
13.0,0.00012525834533724702,-0.0003940687515777336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8415505430591612,0.0,0.0
13.0,0.00014180252494434172,-0.0003720980533895656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8911362319765181,0.0,0.0
31.0,0.00019159299752157335,-0.0003524460892595029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8034182975673975,0.0,0.0
3.0,0.0002285104924401215,-0.0003846243730456989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8868901816225873,0.0,0.0
3.0,0.0002469366343396801,-0.00038383926687883866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9413930853026448,0.0,0.0
3.0,0.00025499890012523204,-0.00041132601970824155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.0002604886619852035,-0.00043003040854851433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.00027696203961965603,-0.00039233661831649286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00030901247476600727,-0.00042290952673849897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494795011546872,0.0,0.0
3.0,0.0003095336359884127,-0.00039542448739974287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0003593542680229795,-0.0004142695886167181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0003532023474749226,-0.000411913525550863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0003718189505978262,-0.00042030830847000766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00037312836476337854,-0.0004399576598451988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600999462477129,0.0,0.0
13.0,0.00040259628505045266,-0.00043131090367735746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00034353068423448747,-0.0004609335019549536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00036745684225535796,-0.0004507151634971251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00034236639719914286,-0.00048137703775995614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,0.00031239584242951697,-0.000516145461784723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,0.00036354018010925166,-0.0005421274872776298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008238339021843,0.0,0.0
3.0,0.000347060264184234,-0.0005760050202172746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636393778961945,0.0,0.0
13.0,0.0003603187037380762,-0.0005051272439673349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9895708079920594,0.0,0.0
31.0,0.00033000217543332756,-0.0004332067129972527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350874824560411,0.0,0.0
13.0,0.0003325833302595587,-0.00046701098873323083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8049945034629116,0.0,0.0
