Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-05T10:33:12+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-05T10:33:19+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-05T10:33:19+00:00,XAU/USD proxy,,no entry
