Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T13:32:39.382727+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T13:25:50.727900+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T13:32:41.821062+00:00,XAU/USD proxy,,no entry
