Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-05T06:58:35+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-05T06:58:48+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-05T06:58:48+00:00,XAU/USD proxy,,no entry
