Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T14:36:10.169007+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T14:34:03.183335+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T14:36:12.759763+00:00,XAU/USD proxy,,no entry
