Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T11:28:00.923706+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T11:17:45.325222+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T11:28:03.296432+00:00,XAU/USD proxy,,no entry
