Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T11:58:40.215830+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T11:54:04.817934+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T11:58:42.815212+00:00,XAU/USD proxy,,no entry
