ts_utc,event,asset,side,bar_dt,price,entry,risk,stop,net_r,days_held,reason
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-06-05 21:00:00,2355.780029,2355.780029,35.3367,2320.443329,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-06-07 05:00:00,2347.399902,2355.780029,35.336700435,2350.2970332939167,-0.2905,1,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-06-07 09:00:00,2319.47998,2319.47998,47.767802,2367.247782,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-06-12 09:00:00,2336.050049,2319.47998,47.76780243534756,2328.3217013623084,-0.4246,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-06-20 01:00:00,2340.51001,2340.51001,35.10765,2305.40236,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-06-21 13:00:00,2324.77002,2340.51001,35.10765015,2334.8834497357702,-0.5017,1,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-06-23 21:00:00,2320.98999,2320.98999,34.81485,2355.80484,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-06-27 17:00:00,2327.620117,2320.98999,34.81484985,2325.8781695338193,-0.2704,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-06-28 09:00:00,2335.51001,2335.51001,35.03265,2300.47736,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-07-08 13:00:00,2358.76001,2335.51001,35.032650149999995,2363.0262479256344,0.4903,10,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-07-11 09:00:00,2406.47998,2406.47998,36.0972,2370.38278,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-07-18 21:00:00,2434.429932,2406.47998,36.0971997,2437.443710739756,0.641,7,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-07-19 05:00:00,2420.530029,2420.530029,40.211912,2460.741941,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-07-30 13:00:00,2400.320068,2420.530029,40.21191155939817,2398.4321629580327,0.334,11,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-07-30 17:00:00,2411.050049,2411.050049,36.898256,2374.151793,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-08-04 21:00:00,2422.340088,2411.050049,36.898256417895475,2428.5581353434454,0.2014,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-08-05 09:00:00,2374.600098,2374.600098,73.402569,2448.002667,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-08-08 17:00:00,2427.27002,2374.600098,73.40256853201916,2425.2535878043695,-0.7564,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-08-09 09:00:00,2429.719971,2429.719971,44.963404,2384.756567,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-08-22 13:00:00,2484.469971,2429.719971,44.96340368671041,2489.037499466647,1.0447,13,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-08-26 05:00:00,2524.320068,2524.320068,37.864801,2486.455267,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-09-03 09:00:00,2493.340088,2524.320068,37.86480102,2496.0072149215366,-0.9648,8,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-09-03 13:00:00,2486.27002,2486.27002,37.29405,2523.56407,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-09-05 05:00:00,2514.77002,2486.27002,37.294050299999995,2505.812430658954,-0.8175,1,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-09-05 09:00:00,2517.850098,2517.850098,37.767751,2480.082347,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-09-06 13:00:00,2489.070068,2517.850098,37.76775147,2489.3912025169557,-0.8154,1,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-09-11 05:00:00,2524.360107,2524.360107,37.865402,2486.494705,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-09-30 09:00:00,2639.189941,2524.360107,37.865401604999995,2642.3756276896956,2.7392,19,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-09-30 13:00:00,2639.149902,2639.149902,39.964791,2679.114693,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-10-11 12:00:00,2658.850098,2639.149902,39.96479148302239,2646.3961891732324,-0.6646,10,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-10-14 04:00:00,2660.51001,2660.51001,39.90765,2620.60236,,0,donchian_breakout
