Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T10:08:55.040028+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T09:53:29.974890+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T10:08:57.519941+00:00,XAU/USD proxy,,no entry
