Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T14:09:53.902693+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T13:54:04.374837+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T14:09:56.393865+00:00,XAU/USD proxy,,no entry
