Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-04T11:07:25.730132+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-04T10:53:52.338673+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-04T11:07:28.022045+00:00,XAU/USD proxy,,no entry
