Eszköz,Spot (USD),Spot UTC,Forrás/Proxy,P(%),Döntés
SOL,,2025-10-05T04:59:00+00:00,Worker JSON (/h/all | /spot/k5m/k1h/k4h fallback),,no entry
NSDQ100,,2025-10-05T04:59:14+00:00,ETF-proxy (QQQ),,no entry
GOLD_CFD,,2025-10-05T04:59:14+00:00,XAU/USD proxy,,no entry
